index,collisions
0,8
1,2
2,5
3,9
4,3
5,7
6,8
7,11
8,11
9,4
10,6
11,9
12,8
13,5
14,5
15,15
16,6
17,7
18,10
19,11
20,12
21,3
22,6
23,8
24,3
25,7
26,3
27,11
28,10
29,5
30,6
31,11
32,6
33,4
34,8
35,2
36,4
37,7
38,10
39,5
40,7
41,5
42,5
43,7
44,4
45,5
46,7
47,9
48,3
49,5
50,5
51,9
52,5
53,5
54,6
55,7
56,9
57,4
58,4
59,9
60,10
61,2
62,4
63,10
64,5
65,6
66,4
67,11
68,5
69,4
70,6
71,9
72,8
73,6
74,5
75,5
76,7
77,6
78,9
79,7
80,9
81,4
82,9
83,6
84,4
85,6
86,10
87,12
88,7
89,5
90,5
91,16
92,7
93,3
94,8
95,6
96,8
97,2
98,12
99,6
100,5
101,9
102,5
103,7
104,7
105,5
106,6
107,11
108,4
109,6
110,7
111,8
112,7
113,4
114,9
115,9
116,6
117,4
118,12
119,10
120,7
121,6
122,8
123,5
124,4
125,5
126,2
127,11
128,8
129,6
130,7
131,5
132,10
133,5
134,8
135,12
136,4
137,9
138,4
139,9
140,11
141,3
142,5
143,9
144,3
145,3
146,15
147,6
148,6
149,1
150,4
151,6
152,9
153,2
154,7
155,10
156,2
157,4
158,5
159,7
160,10
161,5
162,5
163,8
164,12
165,8
166,5
167,11
168,4
169,4
170,5
171,6
172,7
173,5
174,6
175,10
176,7
177,2
178,2
179,8
180,4
181,8
182,5
183,6
184,7
185,1
186,4
187,11
188,6
189,5
190,9
191,4
192,5
193,5
194,11
195,10
196,3
197,3
198,11
199,5
200,9
201,3
202,8
203,4
204,9
205,10
206,7
207,9
208,5
209,6
210,6
211,11
212,6
213,3
214,5
215,9
216,10
217,2
218,6
219,11
220,5
221,3
222,4
223,8
224,10
225,7
226,9
227,14
228,10
229,11
230,3
231,8
232,9
233,5
234,5
235,12
236,5
237,5
238,8
239,7
240,10
241,3
242,4
243,7
244,5
245,5
246,6
247,4
248,11
249,5
250,7
251,4
252,5
253,4
254,8
255,10
256,10
257,3
258,4
259,10
260,11
261,4
262,6
263,9
264,9
265,6
266,6
267,4
268,10
269,9
270,8
271,5
272,4
273,2
274,9
275,9
276,8
277,9
278,9
279,10
280,12
281,7
282,10
283,11
284,6
285,3
286,3
287,9
288,6
289,5
290,5
291,5
292,4
293,8
294,8
295,21
296,2
297,7
298,3
299,3
300,5
301,3
302,10
303,8
304,9
305,2
306,7
307,8
308,2
309,2
310,12
311,12
312,8
313,2
314,9
315,7
316,4
317,7
318,10
319,15
320,4
321,4
322,6
323,13
324,7
325,1
326,6
327,8
328,3
329,6
330,9
331,5
332,7
333,2
334,5
335,13
336,4
337,4
338,4
339,9
340,2
341,6
342,6
343,7
344,6
345,4
346,5
347,8
348,3
349,5
350,9
351,8
352,4
353,8
354,6
355,12
356,8
357,7
358,6
359,11
360,11
361,3
362,4
363,6
364,10
365,4
366,6
367,7
368,6
369,4
370,4
371,10
372,5
373,6
374,4
375,10
376,12
377,5
378,4
379,9
380,5
381,4
382,7
383,15
384,6
385,7
386,10
387,7
388,7
389,7
390,5
391,8
392,10
393,7
394,6
395,10
396,4
397,6
398,5
399,5
400,5
401,5
402,7
403,8
404,10
405,6
406,8
407,9
408,10
409,6
410,5
411,10
412,6
413,2
414,6
415,10
416,8
417,5
418,13
419,10
420,5
421,6
422,14
423,10
424,6
425,4
426,6
427,7
428,7
429,2
430,9
431,4
432,11
433,5
434,5
435,6
436,5
437,2
438,5
439,4
440,6
441,9
442,6
443,5
444,8
445,5
446,2
447,5
448,5
449,7
450,10
451,4
452,6
453,4
454,8
455,8
456,10
457,5
458,5
459,3
460,7
461,5
462,6
463,11
464,3
465,1
466,7
467,7
468,8
469,6
470,7
471,7
472,10
473,6
474,8
475,8
476,7
477,6
478,8
479,10
480,5
481,6
482,6
483,10
484,3
485,4
486,10
487,8
488,9
489,5
490,9
491,6
492,5
493,8
494,7
495,8
496,17
497,4
498,1
499,9
500,7
501,5
502,7
503,10
504,4
505,6
506,5
507,9
508,6
509,4
510,8
511,11
512,7
513,5
514,9
515,11
516,8
517,3
518,5
519,5
520,2
521,7
522,10
523,8
524,5
525,5
526,6
527,10
528,6
529,4
530,3
531,6
532,3
533,7
534,8
535,8
536,7
537,5
538,2
539,10
540,12
541,7
542,2
543,8
544,11
545,2
546,8
547,10
548,7
549,0
550,10
551,9
552,4
553,1
554,2
555,10
556,7
557,5
558,3
559,9
560,5
561,2
562,2
563,9
564,9
565,9
566,6
567,6
568,6
569,5
570,7
571,10
572,11
573,2
574,7
575,7
576,6
577,2
578,7
579,15
580,7
581,4
582,6
583,8
584,9
585,6
586,5
587,6
588,8
589,4
590,10
591,7
592,6
593,6
594,4
595,9
596,5
597,1
598,9
599,5
600,8
601,4
602,4
603,6
604,7
605,10
606,6
607,9
608,3
609,9
610,8
611,16
612,4
613,4
614,5
615,8
616,6
617,3
618,9
619,9
620,7
621,9
622,8
623,7
624,5
625,5
626,9
627,8
628,9
629,3
630,7
631,8
632,9
633,5
634,6
635,10
636,2
637,5
638,8
639,12
640,7
641,6
642,8
643,7
644,3
645,5
646,6
647,10
648,6
649,8
650,7
651,10
652,4
653,2
654,5
655,7
656,8
657,2
658,3
659,12
660,7
661,4
662,9
663,6
664,6
665,7
666,3
667,5
668,4
669,8
670,11
671,8
672,6
673,8
674,4
675,6
676,6
677,7
678,3
679,6
680,5
681,2
682,8
683,4
684,5
685,1
686,6
687,10
688,8
689,4
690,6
691,9
692,2
693,4
694,10
695,5
696,6
697,8
698,3
699,8
700,5
701,4
702,6
703,11
704,3
705,6
706,7
707,10
708,4
709,7
710,7
711,10
712,10
713,5
714,8
715,6
716,4
717,7
718,5
719,7
720,8
721,8
722,7
723,10
724,3
725,8
726,3
727,9
728,5
729,2
730,11
731,9
732,6
733,9
734,3
735,3
736,8
737,2
738,10
739,8
740,6
741,6
742,2
743,6
744,5
745,5
746,10
747,11
748,4
749,6
750,7
751,9
752,10
753,2
754,9
755,10
756,7
757,6
758,7
759,7
760,4
761,4
762,3
763,6
764,10
765,4
766,6
767,2
768,10
769,2
770,10
771,8
772,5
773,1
774,6
775,6
776,12
777,7
778,11
779,7
780,10
781,5
782,9
783,5
784,9
785,4
786,8
787,7
788,6
789,6
790,4
791,10
792,13
793,6
794,4
795,8
796,6
797,5
798,3
799,12
800,7
801,4
802,4
803,3
804,11
805,2
806,5
807,8
808,9
809,5
810,11
811,9
812,14
813,6
814,8
815,10
816,6
817,8
818,8
819,8
820,5
821,7
822,9
823,7
824,8
825,5
826,14
827,6
828,8
829,5
830,8
831,9
832,4
833,4
834,3
835,5
836,9
837,5
838,6
839,7
840,7
841,7
842,8
843,6
844,6
845,5
846,11
847,8
848,9
849,9
850,6
851,8
852,5
853,3
854,5
855,12
856,13
857,4
858,4
859,12
860,6
861,2
862,12
863,8
864,4
865,5
866,3
867,8
868,8
869,6
870,9
871,5
872,7
873,7
874,4
875,8
876,6
877,2
878,6
879,7
880,3
881,3
882,9
883,9
884,4
885,1
886,6
887,5
888,6
889,6
890,10
891,10
892,11
893,10
894,3
895,14
896,6
897,7
898,3
899,5
900,7
901,6
902,8
903,7
904,5
905,10
906,6
907,4
908,7
909,5
910,11
911,3
912,7
913,2
914,10
915,9
916,5
917,5
918,5
919,11
920,4
921,2
922,6
923,5
924,7
925,7
926,8
927,7
928,3
929,6
930,6
931,4
932,4
933,5
934,8
935,11
936,3
937,5
938,5
939,6
940,9
941,4
942,7
943,10
944,6
945,7
946,7
947,9
948,5
949,2
950,8
951,8
952,6
953,3
954,7
955,9
956,7
957,5
958,13
959,13
960,1
961,6
962,10
963,10
964,11
965,3
966,11
967,9
968,2
969,5
970,6
971,5
972,9
973,5
974,6
975,7
976,8
977,6
978,8
979,6
980,9
981,5
982,11
983,11
984,3
985,4
986,8
987,11
988,7
989,5
990,6
991,9
992,2
993,5
994,11
995,5
996,4
997,1
998,9
999,5
1000,2
1001,4
1002,3
1003,8
1004,7
1005,5
1006,7
1007,3
1008,9
1009,3
1010,7
1011,7
1012,9
1013,6
1014,7
1015,11
1016,7
1017,3
1018,9
1019,15
1020,9
1021,11
1022,6
1023,5
1024,8
1025,4
1026,10
1027,5
1028,6
1029,5
1030,7
1031,6
1032,2
1033,4
1034,5
1035,9
1036,9
1037,2
1038,10
1039,3
1040,4
1041,9
1042,6
1043,5
1044,6
1045,3
1046,6
1047,5
1048,11
1049,3
1050,4
1051,9
1052,7
1053,5
1054,10
1055,5
1056,10
1057,5
1058,5
1059,10
1060,10
1061,6
1062,6
1063,7
1064,7
1065,5
1066,6
1067,6
1068,7
1069,3
1070,10
1071,2
1072,13
1073,5
1074,8
1075,4
1076,5
1077,11
1078,9
1079,9
1080,4
1081,5
1082,8
1083,2
1084,4
1085,7
1086,9
1087,11
1088,2
1089,3
1090,8
1091,5
1092,11
1093,11
1094,3
1095,9
1096,8
1097,4
1098,8
1099,9
1100,5
1101,5
1102,9
1103,9
1104,4
1105,4
1106,8
1107,8
1108,8
1109,4
1110,5
1111,15
1112,4
1113,6
1114,12
1115,7
1116,7
1117,6
1118,5
1119,5
1120,7
1121,7
1122,6
1123,11
1124,7
1125,7
1126,8
1127,3
1128,11
1129,9
1130,6
1131,12
1132,3
1133,7
1134,6
1135,5
1136,5
1137,3
1138,5
1139,3
1140,10
1141,4
1142,8
1143,9
1144,9
1145,7
1146,5
1147,9
1148,5
1149,6
1150,2
1151,10
1152,8
1153,6
1154,5
1155,9
1156,9
1157,7
1158,7
1159,10
1160,10
1161,6
1162,2
1163,7
1164,6
1165,6
1166,2
1167,7
1168,4
1169,3
1170,3
1171,9
1172,5
1173,4
1174,3
1175,7
1176,10
1177,5
1178,3
1179,9
1180,10
1181,5
1182,3
1183,4
1184,4
1185,5
1186,7
1187,7
1188,4
1189,5
1190,5
1191,4
1192,8
1193,6
1194,8
1195,8
1196,7
1197,4
1198,6
1199,8
1200,7
1201,5
1202,3
1203,13
1204,8
1205,10
1206,3
1207,10
1208,8
1209,4
1210,8
1211,3
1212,4
1213,2
1214,8
1215,8
1216,7
1217,3
1218,3
1219,9
1220,4
1221,5
1222,7
1223,3
1224,5
1225,7
1226,10
1227,5
1228,9
1229,5
1230,9
1231,5
1232,3
1233,2
1234,6
1235,12
1236,2
1237,7
1238,12
1239,12
1240,7
1241,3
1242,10
1243,14
1244,11
1245,4
1246,7
